stream_id,protocol_version,cipher_suite,forward_secrecy,certificate_key_length,signature_algorithm
1401,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1402,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1403,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1404,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1405,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1406,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1407,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1408,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1409,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1410,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1411,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1412,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1413,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1414,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1415,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1416,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1417,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1418,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1419,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1420,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1421,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1422,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1423,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1424,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1425,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1426,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1427,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1428,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1429,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1430,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1431,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1432,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1433,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1434,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1435,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1436,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1437,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1438,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1439,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1440,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1441,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1442,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1443,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1444,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1445,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1446,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1447,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1448,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1449,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1450,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1451,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1452,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1453,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1454,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1455,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1456,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1457,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1458,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1459,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1460,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1461,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1462,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1463,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1464,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1465,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1466,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1467,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1468,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1469,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1470,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1471,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1472,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1473,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1474,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1475,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1476,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1477,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1478,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1479,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1480,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1481,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1482,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1483,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1484,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1485,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1486,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1487,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1488,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1489,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1490,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1491,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1492,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1493,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1494,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
1495,0x0304,0x1302,Yes,2048,sha256WithRSAEncryption
